WARNING: TMPDIR not set; if /tmp is unavailable, set TMPDIR=$PWD/.tmp
TensorBoard logging enabled. Run: tensorboard --logdir=runs/triangle_fill_v21a_gnn_full_obs/tensorboard
update=  110 mean_rew=-1.4486 rollout_s=28.15 update_s=81.04 formation_loss=0.753 spacing_loss=0.365 lattice_loss=0.015 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.475 triangularity=0.251 boundary_triangularity=0.251 boundary_peak_count=1.377 boundary_corner_score=0.347 boundary_straightness=0.238 triangle_shape_score=0.276 collision_mean=0.000 action_mean=0.740 sinkhorn_entropy=1.153 speed_mean=0.007 ent_coef=0.0761 act_frac=[STOP 0.26, LEFT 0.24, RIGHT 0.26, STRAIGHT 0.24]
update=  120 mean_rew=-1.6549 rollout_s=23.87 update_s=80.95 formation_loss=0.717 spacing_loss=0.491 lattice_loss=0.017 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.492 triangularity=0.340 boundary_triangularity=0.340 boundary_peak_count=1.600 boundary_corner_score=0.424 boundary_straightness=0.271 triangle_shape_score=0.348 collision_mean=0.000 action_mean=0.749 sinkhorn_entropy=1.072 speed_mean=0.008 ent_coef=0.0757 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.24, STRAIGHT 0.25]
update=  130 mean_rew=-0.8731 rollout_s=24.07 update_s=81.45 formation_loss=0.736 spacing_loss=0.085 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.482 triangularity=0.205 boundary_triangularity=0.205 boundary_peak_count=1.418 boundary_corner_score=0.364 boundary_straightness=0.223 triangle_shape_score=0.257 collision_mean=0.001 action_mean=0.719 sinkhorn_entropy=1.155 speed_mean=0.007 ent_coef=0.0753 act_frac=[STOP 0.28, LEFT 0.25, RIGHT 0.25, STRAIGHT 0.22]
update=  140 mean_rew=-1.6383 rollout_s=24.69 update_s=81.96 formation_loss=0.738 spacing_loss=0.472 lattice_loss=0.019 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.483 triangularity=0.350 boundary_triangularity=0.350 boundary_peak_count=1.618 boundary_corner_score=0.425 boundary_straightness=0.287 triangle_shape_score=0.357 collision_mean=0.000 action_mean=0.755 sinkhorn_entropy=1.074 speed_mean=0.007 ent_coef=0.0750 act_frac=[STOP 0.25, LEFT 0.26, RIGHT 0.25, STRAIGHT 0.24]
update=  150 mean_rew=-0.9991 rollout_s=24.63 update_s=82.05 formation_loss=0.688 spacing_loss=0.176 lattice_loss=0.013 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.506 triangularity=0.257 boundary_triangularity=0.257 boundary_peak_count=1.668 boundary_corner_score=0.449 boundary_straightness=0.245 triangle_shape_score=0.311 collision_mean=0.001 action_mean=0.754 sinkhorn_entropy=1.065 speed_mean=0.007 ent_coef=0.0746 act_frac=[STOP 0.25, LEFT 0.24, RIGHT 0.27, STRAIGHT 0.24]
saved best score checkpoint at update=150 formation_score=0.506
saved best loss checkpoint at update=150 formation_loss=0.688
update=  160 mean_rew=-2.2849 rollout_s=24.50 update_s=82.21 formation_loss=0.710 spacing_loss=0.809 lattice_loss=0.021 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.495 triangularity=0.334 boundary_triangularity=0.334 boundary_peak_count=1.732 boundary_corner_score=0.474 boundary_straightness=0.277 triangle_shape_score=0.362 collision_mean=0.000 action_mean=0.748 sinkhorn_entropy=1.061 speed_mean=0.008 ent_coef=0.0743 act_frac=[STOP 0.25, LEFT 0.24, RIGHT 0.25, STRAIGHT 0.26]
update=  170 mean_rew=-1.2092 rollout_s=24.56 update_s=82.40 formation_loss=0.672 spacing_loss=0.290 lattice_loss=0.014 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.514 triangularity=0.275 boundary_triangularity=0.275 boundary_peak_count=1.772 boundary_corner_score=0.488 boundary_straightness=0.255 triangle_shape_score=0.334 collision_mean=0.001 action_mean=0.761 sinkhorn_entropy=1.034 speed_mean=0.007 ent_coef=0.0739 act_frac=[STOP 0.24, LEFT 0.27, RIGHT 0.24, STRAIGHT 0.25]
saved best score checkpoint at update=170 formation_score=0.514
saved best loss checkpoint at update=170 formation_loss=0.672
update=  180 mean_rew=-2.2050 rollout_s=29.00 update_s=82.16 formation_loss=0.731 spacing_loss=0.756 lattice_loss=0.018 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.486 triangularity=0.262 boundary_triangularity=0.262 boundary_peak_count=1.621 boundary_corner_score=0.429 boundary_straightness=0.262 triangle_shape_score=0.312 collision_mean=0.000 action_mean=0.739 sinkhorn_entropy=1.115 speed_mean=0.007 ent_coef=0.0735 act_frac=[STOP 0.26, LEFT 0.25, RIGHT 0.26, STRAIGHT 0.23]
update=  190 mean_rew=-1.4999 rollout_s=24.55 update_s=82.21 formation_loss=0.702 spacing_loss=0.421 lattice_loss=0.015 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.500 triangularity=0.320 boundary_triangularity=0.320 boundary_peak_count=1.708 boundary_corner_score=0.467 boundary_straightness=0.262 triangle_shape_score=0.350 collision_mean=0.000 action_mean=0.749 sinkhorn_entropy=1.038 speed_mean=0.007 ent_coef=0.0732 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.25, STRAIGHT 0.25]
update=  200 mean_rew=-1.2270 rollout_s=28.94 update_s=82.22 formation_loss=0.739 spacing_loss=0.260 lattice_loss=0.013 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.481 triangularity=0.222 boundary_triangularity=0.222 boundary_peak_count=1.439 boundary_corner_score=0.367 boundary_straightness=0.231 triangle_shape_score=0.268 collision_mean=0.000 action_mean=0.730 sinkhorn_entropy=1.153 speed_mean=0.007 ent_coef=0.0728 act_frac=[STOP 0.27, LEFT 0.24, RIGHT 0.23, STRAIGHT 0.26]
update=  210 mean_rew=-1.7064 rollout_s=24.11 update_s=82.20 formation_loss=0.757 spacing_loss=0.494 lattice_loss=0.018 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.473 triangularity=0.319 boundary_triangularity=0.319 boundary_peak_count=1.499 boundary_corner_score=0.385 boundary_straightness=0.251 triangle_shape_score=0.322 collision_mean=0.000 action_mean=0.751 sinkhorn_entropy=1.088 speed_mean=0.007 ent_coef=0.0725 act_frac=[STOP 0.25, LEFT 0.24, RIGHT 0.26, STRAIGHT 0.25]
update=  220 mean_rew=-0.9071 rollout_s=24.91 update_s=82.32 formation_loss=0.722 spacing_loss=0.110 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.489 triangularity=0.240 boundary_triangularity=0.240 boundary_peak_count=1.427 boundary_corner_score=0.360 boundary_straightness=0.237 triangle_shape_score=0.275 collision_mean=0.001 action_mean=0.753 sinkhorn_entropy=1.121 speed_mean=0.007 ent_coef=0.0721 act_frac=[STOP 0.25, LEFT 0.26, RIGHT 0.25, STRAIGHT 0.25]
update=  230 mean_rew=-1.8578 rollout_s=24.36 update_s=82.36 formation_loss=0.734 spacing_loss=0.582 lattice_loss=0.020 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.485 triangularity=0.333 boundary_triangularity=0.333 boundary_peak_count=1.483 boundary_corner_score=0.378 boundary_straightness=0.264 triangle_shape_score=0.329 collision_mean=0.000 action_mean=0.752 sinkhorn_entropy=1.096 speed_mean=0.007 ent_coef=0.0717 act_frac=[STOP 0.25, LEFT 0.27, RIGHT 0.24, STRAIGHT 0.24]
update=  240 mean_rew=-1.0286 rollout_s=24.36 update_s=82.15 formation_loss=0.725 spacing_loss=0.172 lattice_loss=0.013 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.489 triangularity=0.289 boundary_triangularity=0.289 boundary_peak_count=1.524 boundary_corner_score=0.397 boundary_straightness=0.256 triangle_shape_score=0.313 collision_mean=0.001 action_mean=0.748 sinkhorn_entropy=1.098 speed_mean=0.007 ent_coef=0.0714 act_frac=[STOP 0.25, LEFT 0.25, RIGHT 0.25, STRAIGHT 0.25]
update=  250 mean_rew=-2.1390 rollout_s=28.96 update_s=81.89 formation_loss=0.742 spacing_loss=0.720 lattice_loss=0.021 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.482 triangularity=0.363 boundary_triangularity=0.363 boundary_peak_count=1.519 boundary_corner_score=0.395 boundary_straightness=0.279 triangle_shape_score=0.351 collision_mean=0.000 action_mean=0.757 sinkhorn_entropy=1.087 speed_mean=0.007 ent_coef=0.0710 act_frac=[STOP 0.24, LEFT 0.27, RIGHT 0.25, STRAIGHT 0.23]
update=  260 mean_rew=-1.2482 rollout_s=24.40 update_s=82.17 formation_loss=0.699 spacing_loss=0.296 lattice_loss=0.014 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.500 triangularity=0.293 boundary_triangularity=0.293 boundary_peak_count=1.739 boundary_corner_score=0.479 boundary_straightness=0.253 triangle_shape_score=0.339 collision_mean=0.000 action_mean=0.738 sinkhorn_entropy=1.047 speed_mean=0.007 ent_coef=0.0706 act_frac=[STOP 0.26, LEFT 0.27, RIGHT 0.24, STRAIGHT 0.23]
update=  270 mean_rew=-1.7499 rollout_s=28.81 update_s=82.12 formation_loss=0.761 spacing_loss=0.512 lattice_loss=0.017 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.471 triangularity=0.261 boundary_triangularity=0.261 boundary_peak_count=1.447 boundary_corner_score=0.370 boundary_straightness=0.251 triangle_shape_score=0.291 collision_mean=0.000 action_mean=0.758 sinkhorn_entropy=1.149 speed_mean=0.008 ent_coef=0.0703 act_frac=[STOP 0.24, LEFT 0.24, RIGHT 0.25, STRAIGHT 0.27]
update=  280 mean_rew=-1.4694 rollout_s=24.19 update_s=82.27 formation_loss=0.713 spacing_loss=0.399 lattice_loss=0.016 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.494 triangularity=0.316 boundary_triangularity=0.316 boundary_peak_count=1.611 boundary_corner_score=0.426 boundary_straightness=0.261 triangle_shape_score=0.335 collision_mean=0.000 action_mean=0.767 sinkhorn_entropy=1.079 speed_mean=0.007 ent_coef=0.0699 act_frac=[STOP 0.23, LEFT 0.26, RIGHT 0.26, STRAIGHT 0.24]
update=  290 mean_rew=-0.9597 rollout_s=29.12 update_s=82.06 formation_loss=0.727 spacing_loss=0.132 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.487 triangularity=0.212 boundary_triangularity=0.212 boundary_peak_count=1.380 boundary_corner_score=0.347 boundary_straightness=0.220 triangle_shape_score=0.255 collision_mean=0.000 action_mean=0.763 sinkhorn_entropy=1.151 speed_mean=0.007 ent_coef=0.0696 act_frac=[STOP 0.24, LEFT 0.26, RIGHT 0.27, STRAIGHT 0.24]
update=  300 mean_rew=-1.7316 rollout_s=24.36 update_s=82.12 formation_loss=0.724 spacing_loss=0.524 lattice_loss=0.018 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.489 triangularity=0.321 boundary_triangularity=0.321 boundary_peak_count=1.527 boundary_corner_score=0.396 boundary_straightness=0.260 triangle_shape_score=0.328 collision_mean=0.000 action_mean=0.750 sinkhorn_entropy=1.071 speed_mean=0.008 ent_coef=0.0692 act_frac=[STOP 0.25, LEFT 0.24, RIGHT 0.25, STRAIGHT 0.26]
update=  310 mean_rew=-0.9475 rollout_s=24.57 update_s=82.13 formation_loss=0.705 spacing_loss=0.140 lattice_loss=0.012 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.498 triangularity=0.245 boundary_triangularity=0.245 boundary_peak_count=1.527 boundary_corner_score=0.409 boundary_straightness=0.238 triangle_shape_score=0.292 collision_mean=0.001 action_mean=0.730 sinkhorn_entropy=1.109 speed_mean=0.007 ent_coef=0.0688 act_frac=[STOP 0.27, LEFT 0.26, RIGHT 0.23, STRAIGHT 0.25]
update=  320 mean_rew=-2.0861 rollout_s=23.89 update_s=82.14 formation_loss=0.734 spacing_loss=0.696 lattice_loss=0.020 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.485 triangularity=0.331 boundary_triangularity=0.331 boundary_peak_count=1.575 boundary_corner_score=0.412 boundary_straightness=0.270 triangle_shape_score=0.340 collision_mean=0.000 action_mean=0.758 sinkhorn_entropy=1.093 speed_mean=0.007 ent_coef=0.0685 act_frac=[STOP 0.24, LEFT 0.25, RIGHT 0.26, STRAIGHT 0.25]
update=  330 mean_rew=-1.0590 rollout_s=24.55 update_s=82.23 formation_loss=0.699 spacing_loss=0.201 lattice_loss=0.013 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.501 triangularity=0.285 boundary_triangularity=0.285 boundary_peak_count=1.682 boundary_corner_score=0.455 boundary_straightness=0.253 triangle_shape_score=0.328 collision_mean=0.001 action_mean=0.760 sinkhorn_entropy=1.065 speed_mean=0.008 ent_coef=0.0681 act_frac=[STOP 0.24, LEFT 0.27, RIGHT 0.24, STRAIGHT 0.26]
update=  340 mean_rew=-2.1889 rollout_s=28.92 update_s=82.24 formation_loss=0.737 spacing_loss=0.746 lattice_loss=0.019 local_spacing_progress_mean=0.000 local_lattice_progress_mean=0.000 global_shape_progress_mean=0.000 formation_score=0.482 triangularity=0.310 boundary_triangularity=0.310 boundary_peak_count=1.530 boundary_corner_score=0.396 boundary_straightness=0.276 triangle_shape_score=0.327 collision_mean=0.000 action_mean=0.725 sinkhorn_entropy=1.107 speed_mean=0.007 ent_coef=0.0678 act_frac=[STOP 0.28, LEFT 0.25, RIGHT 0.24, STRAIGHT 0.24]
